Sample,Sample_prop
0,1
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.01
93,0.01
94,0.01
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
122,0.01
123,0.01
124,0.01
125,0.01
126,0.01
127,0.01
128,0.01
129,0.01
130,0.01
131,0.01
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
151,0.01
152,0.01
153,0.01
154,0.01
155,0.01
156,0.01
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.01
173,0.01
174,0.01
175,0.01
176,0.01
177,0.01
178,0.01
179,0.01
180,0.01
181,0.01
182,0.01
183,0.01
184,0.01
185,0.01
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.05
202,0.05
203,0.05
204,0.05
205,0.05
206,0.05
207,0.05
208,0.05
209,0.05
210,0.05
211,0.05
212,0.05
213,0.05
214,0.05
215,0.05
216,0.05
217,0.05
218,0.05
219,0.05
220,0.05
221,0.05
222,0.05
223,0.05
224,0.05
225,0.05
226,0.05
227,0.05
228,0.05
229,0.05
230,0.05
231,0.05
232,0.05
233,0.05
234,0.05
235,0.05
236,0.05
237,0.05
238,0.05
239,0.05
240,0.05
241,0.05
242,0.05
243,0.05
244,0.05
245,0.05
246,0.05
247,0.05
248,0.05
249,0.05
250,0.05
251,0.05
252,0.05
253,0.05
254,0.05
255,0.05
256,0.05
257,0.05
258,0.05
259,0.05
260,0.05
261,0.05
262,0.05
263,0.05
264,0.05
265,0.05
266,0.05
267,0.05
268,0.05
269,0.05
270,0.05
271,0.05
272,0.05
273,0.05
274,0.05
275,0.05
276,0.05
277,0.05
278,0.05
279,0.05
280,0.05
281,0.05
282,0.05
283,0.05
284,0.05
285,0.05
286,0.05
287,0.05
288,0.05
289,0.05
290,0.05
291,0.05
292,0.05
293,0.05
294,0.05
295,0.05
296,0.05
297,0.05
298,0.05
299,0.05
300,0.05
301,0.05
302,0.05
303,0.05
304,0.05
305,0.05
306,0.05
307,0.05
308,0.05
309,0.05
310,0.05
311,0.05
312,0.05
313,0.05
314,0.05
315,0.05
316,0.05
317,0.05
318,0.05
319,0.05
320,0.05
321,0.05
322,0.05
323,0.05
324,0.05
325,0.05
