title,Content,type,Post_ID
Nuclear_Overhauser_effect Chemical_physics Science,the nuclear overhauser effect noe is the transfer of nuclear spin polarization from one nuclear spin population to another via cross relaxation it is a common phenomenon observed by nuclear magnetic resonance nmr spectroscopy the theoretical basis for the noe was described and experimentally verified by anderson and in the noe is an extension of the seminal work of american physicist albert overhauser who in proposed that nuclear spin polarization could be enhanced by the microwave irradiation of the conduction electrons in certain metals the general overhauser effect was first demonstrated experimentally by t r carver and c p slichter also in another early explanation and experimental observation of the noe was by in in an nmr experiment where the spin polarization was transferred from one population of nuclear spins to another rather than from electrons spins to nuclear spins however the theoretical basis and the applicable solomon equations had already been published by solomon in subsequent to its discovery the noe was shown to be highly useful in nmr spectroscopy for characterizing and organic chemical structures in this application the noe differs from the application of spin spin coupling in that the noe occurs through space not through chemical bonds thus atoms that are in close to each other can give a noe whereas spin coupling is observed only when the atoms are connected by chemical bonds the inter atomic distances derived from the observed noe can often help to confirm a precise molecular conformation i e the three dimensional structure of a molecule in was awarded the nobel prize in chemistry for demonstrating that the noe could be using two dimensional nmr spectroscopy to determine the three dimensional structures of biological macromolecules in solution,Science,1
Quantum_solvent Chemical_physics Science,a quantum solvent is essentially a superfluid a quantum liquid used to another chemical species any superfluid can theoretically act as a quantum solvent however in practice the only viable superfluid medium that can currently be used is helium and it has been successfully accomplished in controlled conditions such solvents are currently under investigation for use in spectroscopic techniques in the field of analytical chemistry due to their kinetic properties any matter or otherwise suspended in the superfluid will to aggregate together in by a quantum solvation shell due to the totally nature of the superfluid medium the entire object then proceeds to act very much like a ball allowing effectively complete rotational freedom of the chemical species a quantum solvation shell consists of a region of non superfluid helium atoms that the molecule s and exhibit following around the centre of gravity of the as such the kinetics of an effectively molecule can be studied without the need to use an actual gas which can be impractical or impossible it is necessary to make a small to the rotational constant of the chemical species being examined in order to compensate for the higher mass by the quantum solvation shell quantum solvation has so far been achieved with a number of organic and compounds and it has been that as well as the obvious use in the field of spectroscopy quantum solvents could be used as tools in chemical engineering perhaps to components for use in nanotechnology,Science,2
Rovibrational_coupling Chemical_physics Science,coupling is a coupled rotational and vibrational excitation of a molecule it is different from coupling which involves a change in all of electronic vibrational and rotational states simultaneously rotational vibrational spectroscopy generally vibrational transitions occur in conjunction with rotational transitions consequently it is possible to observe both rotational and vibrational transitions in the vibrational spectrum although many methods are available for observing vibrational spectra the two most common methods are infrared spectroscopy and raman spectroscopy formula where formula is the vibrational quantum number formula is the rotational quantum number h is planck s constant formula is the frequency of the vibration formula is the speed of light and formula is the rotational constant spectra the selection rule for the absorption of dipole radiation the strongest component of light is that formula this is because of the vector addition properties of quantum mechanical angular momenta and because light particles photons have angular momenta of in spectroscopy the transitions where formula are referred to as the p branch transitions with formula are referred to as q branch and formula as r branch for linear molecules the most commonly observed case is that only transitions with formula are observed this is only possible when the molecule has a ground state that is there are no unpaired electron spins in the molecule for molecules that do have unpaired electrons q branches see below are commonly observed the gap between the r and p branches is known as the q branch a peak would appear here for a vibrational transition in which the rotational energy did not change formula however according to the quantum mechanical rigid rotor model upon which rotational spectroscopy is based there is a spectroscopic selection rule that requires that formula this selection rule explains the p and r branches are observed but not the q branch as well as branches for which formula formula etc the positions of the peaks in the spectrum can be predicted using the rigid rotor model one prediction of the rigid rotor model is that the space between each of the peaks should be formula where formula is the rotational constant for a given molecule experimentally it is observed that the spacing between the r branch peaks decreases as the frequency increases similarly the spacing between the p branch peaks increases as the frequency decreases this variation in the spacing results from the bonds between the atoms in a molecule not being rigid formula formula rotational vibrational spectra will also show some fine structure due to the presence of different isotopes in the spectrum in the spectrum shown above all of the rotational peaks are slightly into two peaks one peak corresponds to and the other to the ratio of the peak intensities corresponds to the natural abundance of these two isotopes,Science,3
Effective_field_theory Chemical_physics Science,in physics an effective field theory is as any effective theory an approximate theory usually a quantum field theory that includes appropriate degrees of freedom to describe physical phenomena occurring at a chosen length scale while and degrees of freedom at shorter distances or at higher energies the renormalization group presently effective field theories are discussed in the context of the renormalization group rg where the process of out short distance degrees of freedom is made systematic although this method is not sufficiently to allow the actual construction of effective field theories the understanding of their becomes clear through a rg analysis this method also to the main technique of effective field theories through the analysis of symmetries if there is a single mass scale m in the microscopic theory then the effective field theory can be seen as an expansion in m the construction of an effective field theory accurate to some power of m requires a new set of free parameters at each order of the expansion in m this technique is useful for scattering or other processes where the maximum momentum scale k satisfies the condition k since effective field theories are not valid at small length scales they need not be renormalizable indeed the ever expanding number of parameters at each order in m required for an effective field theory means that they are generally not renormalizable in the same sense as quantum electrodynamics which requires only the renormalization of three parameters examples of effective field theories fermi theory of beta this theory a interaction between the four fermions involved in these reactions the theory had great success and was eventually understood to arise from the gauge theory of interactions which forms a part of the standard model of particle physics in this more fundamental theory the interactions are by a changing gauge boson the the success of the fermi theory was because the w particle has mass of about gev whereas the early experiments were all done at an energy scale of less than mev such a separation of scales by over orders of magnitude has not been met in any other situation as yet bcs theory of superconductivity another famous example is the bcs theory of superconductivity here the underlying theory is of electrons in a metal interacting with lattice vibrations called phonons the phonons cause attractive interactions between some electrons causing them to form pairs the length scale of these pairs is much larger than the wavelength of phonons making it possible to neglect the dynamics of phonons and construct a theory in which two electrons effectively interact at a point this theory has had remarkable success in describing and predicting the results of experiments other examples presently effective field theories are written for many situations,Science,4
Chemical_physics Chemical_physics Science,chemical physics is a of chemistry and physics that phenomena using techniques from atomic and molecular physics and condensed matter physics it is the branch of physics that studies chemical processes from the point of view of physics while at the interface of physics and chemistry chemical physics is distinct from physical chemistry in that it focuses more on the characteristic elements and theories of physics meanwhile physical chemistry studies the physical nature of chemistry the distinction between the two fields is and workers often practice in each field during the course of their research,Science,5
Rotational_transition Chemical_physics Science,a rotational transition is an change in angular momentum in quantum physics like all other properties of a quantum particle angular momentum is quantized meaning it can only equal certain discrete values which correspond to different rotational energy states when a particle angular momentum it is said to have to a lower rotational energy state likewise when a particle gains angular momentum a positive rotational transition is said to have occurred rotational transitions are important in physics due to the unique spectral lines that result because there is a net gain or loss of energy during a transition electromagnetic radiation of a particular frequency must be absorbed or emitted this forms spectral lines at that frequency which can be detected with a as in rotational spectroscopy or raman spectroscopy,Science,6
Dynamic_nuclear_polarisation Chemical_physics Science,dynamic nuclear polarization dnp results from spin polarization from electrons to nuclei aligning the nuclear spins to the extent that electron spins are aligned note that the alignment of electron spins at a given magnetic field and temperature is described by the boltzmann distribution under the thermal equilibrium see figure it is also possible that those electrons are aligned to a higher degree of order by other of electron spin order such as chemical reactions leading to chemical induced dnp optical and spin dnp is considered one of several techniques for when electron spin polarization from its thermal equilibrium value polarization between electrons and nuclei can occur spontaneously through electron nuclear cross relaxation and or spin state mixing among electrons and nuclei for example the polarization transfer is after a chemical reaction on the other hand when the electron spin system is in a thermal equilibrium the polarization transfer requires continuous microwave irradiation at a frequency close to the corresponding electron paramagnetic resonance epr frequency in particular mechanisms for the microwave driven dnp processes are into the overhauser effect the solid effect the cross effect and thermal mixing the first dnp experiments were performed in the early at low magnetic fields but until recently the technique was of limited applicability for high frequency high field nmr spectroscopy because of the lack of microwave sources operating at the appropriate frequency today such sources are available as turn key instruments making dnp a valuable and indispensable method especially in the field of structure determination by high resolution solid state nmr spectroscopy dnp mechanisms the overhauser effect dnp was first realized using the concept of the overhauser effect which is the perturbation of nuclear spin level populations observed in metals and free radicals when electron spin transitions are by the microwave irradiation this effect relies on stochastic interactions between an electron and a nucleus the dynamic initially to highlight the time dependent and random interactions in this polarization transfer process the dnp phenomenon was theoretically predicted by albert overhauser in and initially some criticism from ramsey and other renowned physicists of the time on the grounds of being the experimental by carver and slichter as well as an from ramsey both reached overhauser in the same year the so called electron nucleus cross relaxation which is responsible for the dnp phenomenon is caused by rotational and translational modulation of the electron nucleus hyperfine coupling the theory of this process is based essentially on the second order time dependent perturbation theory solution of the von equation for the spin density matrix while the overhauser effect relies on time dependent electron nuclear interactions the remaining polarizing mechanisms rely on time independent electron nuclear and electron electron interactions the solid effect the solid effect occurs when the electron nucleus mutual flip transition in an electron nucleus two spin system is excited by microwave irradiation this polarizing mechanism is optimal when the exciting microwave frequency shifts up or down by the nuclear larmor frequency from the electron larmor frequency in the discussed two spin system the direction of frequency shifts corresponds to the sign of dnp enhancements therefore to the between positive and negative dnp enhancements it requires that the linewidth of the epr spectrum of involved unpaired electrons is smaller than the nuclear larmor frequency note that the transition moment for the above microwave excitation results from a second order effect of the electron nuclear interactions and thus requires stronger microwave power to be significant and its intensity is by an increase of the external magnetic field as a result the dnp enhancement from the solid effect scales as the cross effect the cross effect requires two unpaired electrons as the source of high polarization while the underlying physics is still of second order nature with respect to the electron electron and electron nuclear interactions the polarizing efficiency can be improved with the optimized epr frequency separation of the two electrons close to the nuclear larmor frequency as a result the strength of microwave irradiation is less than that in the solid effect in practice the correct epr frequency separation is accomplished through random orientation of paramagnetic species with g anisotropy depending on the probability of desired frequency separation from an broadened epr lineshape whose linewidth is than the nuclear larmor frequency therefore as this linewidth is proportional to external magnetic field the overall dnp efficiency or the enhancement of nuclear polarization scales as thermal mixing thermal mixing is an energy exchange phenomena between the electron spin ensemble and the nuclear spin which can be thought of as using multiple electron spins to provide nuclear polarization note that the electron spin ensemble acts as a whole because of stronger inter electron interactions the strong interactions lead to a broadened epr lineshape of the involved paramagnetic species the linewidth is optimized for polarization transfer from electrons to nuclei when it is close to the nuclear larmor frequency the optimization is related to an three spin electron electron nucleus process that the coupled three spins under the energy conservation mainly of the zeeman interactions due to the inhomogeneous component of the associated epr lineshape the dnp enhancement by this mechanism also scales as,Science,7
Knight_shift Chemical_physics Science,the knight shift is a shift in the nuclear magnetic resonance frequency of a paramagnetic first published in by the american physicist walter david knight the knight shift refers to the relative shift k in nmr frequency for atoms in a metal e g sodium compared with the same atoms in a nonmetallic environment e g sodium chloride the observed shift reflects the local magnetic field produced at the sodium nucleus by the of the conduction electrons the average local field in sodium the applied resonance field by approximately one part per in nonmetallic sodium chloride the local field is negligible in comparison the knight shift is due to the conduction electrons in metals they an extra effective field at the nuclear site due to the spin of the conduction electrons in the presence of an external field this is responsible for the shift observed in the nuclear magnetic resonance the shift from two sources one is the pauli paramagnetic spin susceptibility the other is the s component at the nucleus depending on the electronic structure the knight shift may be temperature dependent however in metals which normally have a broad electronic density of states knight shifts are temperature independent,Science,8
Polarizability Chemical_physics Science,is the measure of the change in a molecule s electron distribution in response to an applied electric field which can also be induced by electric interactions with solvents or ionic it is a property of matter polarizabilities determine the dynamical response of a bound system to external fields and provide insight into a molecule s internal structure electric polarizability definition electric polarizability is the relative tendency of a charge distribution like the electron cloud of an atom or molecule to be distorted from its normal shape by an external electric field which is applied typically by the molecule in a charged parallel plate but may also be caused by the presence of a nearby ion or dipole the electronic polarizability formula is defined as the ratio of the induced dipole moment formula of an atom to the electric field formula that produces this dipole moment formula polarizability has the units of but is more often expressed as polarizability volume with units of or in formula where formula is the vacuum the polarizability of individual particles is related to the average electric susceptibility of the medium by the relation note that the polarizability formula as defined above is a scalar quantity this implies that the applied electric fields can only produce polarization components parallel to the field for example an electric field in the formula direction can only produce an formula component in formula however it can that an electric field in the formula direction produces a formula or formula component in the vector formula in this case formula is described as a tensor of rank which is represented with respect to a given system of axes frame of reference by a formula matrix generally polarizability increases as volume occupied by electrons increases in atoms this occurs because larger atoms have more loosely held electrons in contrast to smaller atoms with tightly bound electrons on rows of the periodic table polarizability therefore decreases from left to right polarizability increases down on columns of the periodic table likewise larger molecules are generally more polarizable than smaller ones though water is a very polar molecule alkanes and other hydrophobic molecules are more polarizable alkanes are the most polarizable molecules although and are expected to have larger polarizability than alkanes because of their higher reactivity compared to alkanes alkanes are in fact more polarizable this results because of s and s more electronegative carbons to the s less electronegative carbons it is important to note that ground state electron configuration models are often in studying the polarizability of bonds because dramatic changes in molecular structure occur in a reaction magnetic polarizability magnetic polarizability defined by spin interactions of nucleons is an important parameter of and in particular measurement of tensor polarizabilities of nucleons yields important information about spin dependent nuclear forces the method of spin amplitudes uses quantum mechanics to more easily describe spin dynamics vector and tensor polarization of particle nuclei with spin are specified by the unit polarization vector formula and the polarization tensor p additional of products of three or more spin matrices are needed only for the description of polarization of particles nuclei with spin polarizability of the nucleon the polarizabilities belong to the fundamental structure constants of the nucleon in addition to the mass the electric charge the spin and the magnetic moment the to measure the polarizabilities back to the two experimental options were considered i compton scattering by the proton and ii the scattering of slow neutrons in the coulomb field of heavy nuclei the idea was that the nucleon with its pion cloud obtains an electric dipole moment under the action of an electric field vector which is proportional to the electric polarizability after the discovery of the of the resonance it became obvious that the nucleon also should have a strong paramagnetic polarizability because of a virtual spin flip transition of one of the constituent quarks due to the magnetic field vector provided by a real photon in a compton scattering experiment however experiments showed that this expected strong paramagnetism is not observed apparently a strong diamagnetism exists which the expected strong paramagnetism though this explanation is it remained unknown how it may be understood in terms of the structure of the nucleon a solution of this problem was found very recently when it was shown that the diamagnetism is a property of the structure of the constituent quarks in this is not a because constituent quarks generate their mass mainly through interactions with the vacuum via the exchange of a meson this is predicted by the linear model on the quark level which also predicts the mass of the meson to be mev the meson has the capability of interacting with two photons being in parallel planes of linear polarization we will show in the following that the meson as part of the constituent quark structure therefore provides the part of the electric polarizability and the total diamagnetic polarizability definition of electromagnetic polarizabilities a nucleon in an electric field e and a magnetic field h obtains an electric dipole moment d and magnetic dipole moment m given by in a unit system where the electric charge formula is given by formula the proportionality constants formula and formula are denoted as the electric and magnetic polarizabilities respectively these polarizabilities may be understood as a measure of the response of the nucleon structure to the fields provided by a real or virtual photon and it is evident that we need a second photon to measure the polarizabilities this may be expressed through the relations where formula is the energy change in the electromagnetic field due to the presence of the nucleon in the field the definition implies that the polarizabilities are measured in units of a volume i e in units of formula m modes of two photon reactions and experimental methods electric fields of sufficient strength are provided by the coulomb field of heavy nuclei therefore the electric polarizability of the neutron can be measured by scattering slow neutrons in the electric field e of a pb nucleus the neutron has no electric charge therefore two simultaneously interacting electric field vectors two virtual photons are required to produce a deflection of the neutron then the electric polarizability can be obtained from the differential cross section measured at a small deflection angle a further possibility is provided by compton scattering of real photons by the nucleon where during the scattering process two electric and two magnetic field vectors simultaneously interact with the nucleon in the following we discuss the experimental options we have to measure the polarizabilities of the nucleon as above two photons are needed which simultaneously interact with the electrically charged parts of the nucleon these photons may be in parallel or perpendicular planes of linear polarization and in these two modes measure the polarizabilities formula formula or spinpolarizabilities formula respectively the is only for particles having a spin case corresponds to the measurement of the electric polarizability formula via two parallel electric field vectors e these parallel electric field vectors may either be provided as photons by the coulomb field of a heavy nucleus or by compton scattering in the forward direction or by reflecting the photon by real photons simultaneously provide electric e and magnetic h field vectors this means that in a compton scattering experiment linear combinations of electric and magnetic polarizabilities and linear combinations of electric and magnetic spinpolarizabilities are measured the combination of case and case measures formula and is observed in forward direction compton scattering the combination of case and case measures formula and is observed in backward direction compton scattering the combination of case and case measures formula and is observed in forward direction compton scattering the combination of case and case measures formula and is observed in backward direction compton scattering compton scattering experiments exactly in the forward direction and exactly in the backward direction are not possible from a technical point of view therefore the respective quantities have to be extracted from compton scattering experiments carried out at intermediate angles experimental results the experimental polarizabilities of the proton p and the neutron n may be as follows the experimental spinpolarizabilities of the proton p and neutron n are the experimental polarizabilities of the proton have been obtained as an average from a larger number of compton scattering experiments the experimental electric polarizability of the neutron is the average of an experiment on electromagnetic scattering of a neutron in the coulomb field of a pb nucleus and a compton scattering experiment on a neutron i e a neutron separated from a deuteron during the scattering process the two results are see furthermore there are experiments at the university of lund sweden where the electric polarizability of the neutron is determined through compton scattering by the deuteron calculation of polarizabilities recently great progress has been made in disentangling the total photoabsorption cross section into parts separated by the spin the and the parity of the intermediate state using the meson amplitudes of et al the spin of the intermediate state may be formula or formula depending on the spin directions of the photon and the nucleon in the initial state the parity change during the from the ground state to the intermediate state is formula for the multipoles formula and formula for the multipoles formula calculating the respective partial cross from photo meson data the following sum rules can be where formula is the photon energy in the lab frame the sum rules for formula and formula depend on nucleon structure degrees of freedom only whereas the sum rules for formula and formula have to be supplemented by the quantities formula and formula respectively these are formula channel contributions which may be interpreted as contributions of scalar and pseudoscalar mesons being parts of the constituent quark structure the sum rule for formula depends on the total photoabsorption cross section and therefore does not require a disentangling with respect to quantum numbers the sum rule for formula requires a disentangling with respect to the parity change of the transition the sum rule for formula requires a disentangling with respect to the spin of the intermediate state the sum rule for formula requires a disentangling with respect to spin and parity change the formula channel contributions depend on those scalar and pseudoscalar mesons which i are part of the structure of the constituent quarks and ii are capable of coupling to two photons these are the mesons formula formula and formula in case of formula and the mesons formula formula and formula in case of formula the are dominated by the formula and the formula whereas the other mesons only lead to small corrections results of calculation the electric polarizabilities formula and formula are dominated by a smaller component due to the pion cloud nucleon and a larger component due to the formula meson as part of the constituent quark structure const quark the magnetic polarizabilities formula and formula have a large paramagnetic part due to the spin structure of the nucleon nucleon and an only slightly smaller diamagnetic part due to the formula meson as part of the constituent quark structure const quark the contributions of the formula meson are supplemented by small corrections due to formula and formula mesons the spinpolarizabilities formula and formula are dominated by interfering components from the pion cloud and the spin structure of the nucleon the different obtained for the proton and the neutron are due to this destructive interference the spinpolarizabilities formula and formula have a minor component due to the structure of the nucleon nucleon and a major component due to the pseudoscalar mesons formula formula and formula as structure components of the constituent quarks const quark the agreement with the experimental data is excellent in all eight cases in the we have shown that the polarizabilities of the nucleon are well understood from previous the structure of the constituent quark is essential for the and the general properties of the polarizabilities,Science,9
Anisotropic_liquid Chemical_physics Science,an anisotropic liquid is a liquid which has and where the molecules have an average structural order relative to each other along their molecular axis that ordinary do not have liquid are examples of anisotropic liquids,Science,10
